日付,時間,合計,男性,女性,20代,30代,40代,50代,60代,70歳以上,居住者,勤務者,来街者,平均男性,平均女性,平均20代,平均30代,平均40代,平均50代,平均60代,平均70歳以上,平均居住者,平均勤務者,平均来街者
2024-10-01,5時,32,32,0,0,0,0,32,0,0,0,0,32,32,0,0,0,0,32,0,0,0,0,32
2024-10-01,5時半,32,32,0,0,0,0,32,0,0,0,0,32,32,0,0,0,0,32,0,0,0,0,32
2024-10-01,6時,32,32,0,0,0,0,32,0,0,0,0,32,32,0,0,0,0,32,0,0,0,0,32
2024-10-01,6時半,62,62,0,0,0,0,62,0,0,0,0,62,62,0,0,0,0,62,0,0,0,0,62
2024-10-01,7時,32,32,0,0,0,0,32,0,0,0,0,32,32,0,0,0,0,32,0,0,0,0,32
2024-10-01,7時半,58,58,0,0,0,0,58,0,0,0,26,32,58,0,0,0,0,58,0,0,0,26,32
2024-10-01,8時,358,87,271,271,0,0,87,0,0,0,297,60,87,271,271,0,0,87,0,0,0,297,60
2024-10-01,8時半,60,60,0,0,0,0,60,0,0,0,0,60,60,0,0,0,0,60,0,0,0,0,60
2024-10-01,9時,126,92,34,0,0,0,101,25,0,0,0,127,92,34,0,0,0,101,25,0,0,0,127
2024-10-01,9時半,145,111,34,0,79,0,67,0,0,0,79,67,111,34,0,79,0,67,0,0,0,79,67
2024-10-01,10時,113,79,34,0,79,0,34,0,0,0,79,34,79,34,0,79,0,34,0,0,0,79,34
2024-10-01,10時半,113,79,34,0,79,0,34,0,0,0,79,34,79,34,0,79,0,34,0,0,0,79,34
2024-10-01,11時,79,79,0,0,79,0,0,0,0,0,79,0,79,0,0,79,0,0,0,0,0,79,0
2024-10-01,11時半,452,240,212,212,141,47,51,0,0,0,291,161,240,212,212,141,47,51,0,0,0,291,161
2024-10-01,12時,537,325,212,320,141,47,27,0,0,0,291,245,325,212,320,141,47,27,0,0,0,291,245
2024-10-01,12時半,384,172,212,212,141,0,30,0,0,0,322,61,172,212,212,141,0,30,0,0,0,322,61
2024-10-01,13時,558,346,212,334,141,51,30,0,0,0,322,235,346,212,334,141,51,30,0,0,0,322,235
2024-10-01,13時半,488,276,212,334,0,51,103,0,0,0,263,225,276,212,334,0,51,103,0,0,0,263,225
2024-10-01,14時,212,0,212,212,0,0,0,0,0,0,212,0,0,212,212,0,0,0,0,0,0,212,0
2024-10-01,14時半,298,0,298,212,86,0,0,0,0,0,298,0,0,298,212,86,0,0,0,0,0,298,0
2024-10-01,15時,298,0,298,212,86,0,0,0,0,0,298,0,0,298,212,86,0,0,0,0,0,298,0
2024-10-01,15時半,256,44,212,212,0,44,0,0,0,0,212,44,44,212,212,0,44,0,0,0,0,212,44
2024-10-01,16時,60,60,0,0,0,60,0,0,0,0,0,60,60,0,0,0,60,0,0,0,0,0,60
2024-10-01,16時半,116,116,0,0,0,116,0,0,0,0,0,116,116,0,0,0,116,0,0,0,0,0,116
2024-10-01,17時,55,55,0,0,0,55,0,0,0,0,0,55,55,0,0,0,55,0,0,0,0,0,55
2024-10-01,17時半,55,55,0,0,0,55,0,0,0,0,0,55,55,0,0,0,55,0,0,0,0,0,55
2024-10-01,18時,92,55,37,0,0,55,37,0,0,0,0,93,55,37,0,0,55,37,0,0,0,0,93
2024-10-01,18時半,290,82,208,170,0,55,64,0,0,0,170,120,82,208,170,0,55,64,0,0,0,170,120
2024-10-01,19時,347,82,265,170,94,55,26,0,0,0,265,82,82,265,170,94,55,26,0,0,0,265,82
2024-10-01,19時半,296,48,248,170,77,48,0,0,0,0,219,77,48,248,170,77,48,0,0,0,0,219,77
2024-10-01,20時,248,0,248,170,77,0,0,0,0,0,170,77,0,248,170,77,0,0,0,0,0,170,77
2024-10-01,20時半,248,0,248,170,77,0,0,0,0,0,170,77,0,248,170,77,0,0,0,0,0,170,77
2024-10-01,21時,385,89,296,385,0,0,0,0,0,0,170,214,89,296,385,0,0,0,0,0,0,170,214
2024-10-01,21時半,385,89,296,385,0,0,0,0,0,0,170,214,89,296,385,0,0,0,0,0,0,170,214
2024-10-01,22時,656,89,567,656,0,0,0,0,0,0,170,485,89,567,656,0,0,0,0,0,0,170,485
2024-10-01,22時半,656,89,567,656,0,0,0,0,0,0,170,485,89,567,656,0,0,0,0,0,0,170,485
2024-10-01,23時,464,168,296,385,79,0,0,0,0,0,250,214,168,296,385,79,0,0,0,0,0,250,214
2024-10-01,23時半,385,89,296,385,0,0,0,0,0,0,170,214,89,296,385,0,0,0,0,0,0,170,214
2024-10-01,24時,302,89,213,214,0,0,0,0,88,0,0,302,89,213,214,0,0,0,0,88,0,0,302
2024-10-01,24時半,302,89,213,214,0,0,0,0,88,0,0,302,89,213,214,0,0,0,0,88,0,0,302
2024-10-01,25時,302,89,213,214,0,0,0,0,88,0,0,302,89,213,214,0,0,0,0,88,0,0,302
2024-10-01,25時半,302,89,213,214,0,0,0,0,88,0,0,302,89,213,214,0,0,0,0,88,0,0,302
2024-10-01,26時,302,89,213,214,0,0,0,0,88,0,0,302,89,213,214,0,0,0,0,88,0,0,302
2024-10-01,26時半,302,89,213,214,0,0,0,0,88,0,0,302,89,213,214,0,0,0,0,88,0,0,302
2024-10-01,27時,213,0,213,125,0,0,0,0,88,0,0,213,0,213,125,0,0,0,0,88,0,0,213
2024-10-01,27時半,213,0,213,125,0,0,0,0,88,0,0,213,0,213,125,0,0,0,0,88,0,0,213
2024-10-01,28時,213,0,213,125,0,0,0,0,88,0,0,213,0,213,125,0,0,0,0,88,0,0,213
2024-10-01,28時半,213,0,213,125,0,0,0,0,88,0,0,213,0,213,125,0,0,0,0,88,0,0,213
2024-10-02,5時,125,0,125,125,0,0,0,0,0,0,0,125,0,125,125,0,0,0,0,0,0,0,125
2024-10-02,5時半,188,32,156,125,0,0,32,31,0,0,31,157,32,156,125,0,0,32,31,0,0,31,157
2024-10-02,6時,63,32,31,0,0,0,32,31,0,0,31,32,32,31,0,0,0,32,31,0,0,31,32
2024-10-02,6時半,63,32,31,0,0,0,32,31,0,0,31,32,32,31,0,0,0,32,31,0,0,31,32
2024-10-02,7時,63,32,31,0,0,0,32,31,0,0,31,32,32,31,0,0,0,32,31,0,0,31,32
2024-10-02,7時半,63,32,31,0,0,0,32,31,0,0,31,32,32,31,0,0,0,32,31,0,0,31,32
2024-10-02,8時,140,109,31,0,0,46,62,31,0,0,78,62,109,31,0,0,46,62,31,0,0,78,62
2024-10-02,8時半,339,96,243,212,0,0,57,70,0,0,243,96,96,243,212,0,0,57,70,0,0,243,96
2024-10-02,9時,562,319,243,434,0,0,57,70,0,0,354,208,319,243,434,0,0,57,70,0,0,354,208
2024-10-02,9時半,682,261,421,434,83,0,62,102,0,0,354,329,261,421,434,83,0,62,102,0,0,354,329
2024-10-02,10時,677,150,527,322,213,0,37,102,0,0,354,323,150,527,322,213,0,37,102,0,0,354,323
2024-10-02,10時半,552,110,442,322,106,55,37,31,0,0,354,199,110,442,322,106,55,37,31,0,0,354,199
2024-10-02,11時,414,133,281,322,0,0,37,54,0,0,354,60,133,281,322,0,0,37,54,0,0,354,60
2024-10-02,11時半,339,230,109,110,147,50,0,31,0,0,141,197,230,109,110,147,50,0,31,0,0,141,197
2024-10-02,12時,440,331,109,110,147,50,28,31,72,0,141,298,331,109,110,147,50,28,31,72,0,141,298
2024-10-02,12時半,539,430,109,143,242,50,0,31,72,0,126,413,430,109,143,242,50,0,31,72,0,126,413
2024-10-02,13時,533,424,109,143,242,55,0,50,41,0,182,351,424,109,143,242,55,0,50,41,0,182,351
2024-10-02,13時半,434,138,296,185,0,71,86,50,41,0,88,346,138,296,185,0,71,86,50,41,0,88,346
2024-10-02,14時,397,132,265,185,0,115,36,18,41,0,36,361,132,265,185,0,115,36,18,41,0,36,361
2024-10-02,14時半,433,168,265,185,0,151,36,18,41,0,36,397,168,265,185,0,151,36,18,41,0,36,397
2024-10-02,15時,274,46,228,185,0,71,0,18,0,0,0,275,46,228,185,0,71,0,18,0,0,0,275
2024-10-02,15時半,273,45,228,185,0,89,0,0,0,0,0,274,45,228,185,0,89,0,0,0,0,0,274
