ì˙ït,éûä‘,çáåv,íjê´,èóê´,20ë„,30ë„,40ë„,50ë„,60ë„,70çŒà»è„,ãèèZé“,ãŒñ±é“,óàäXé“,ïΩãœíjê´,ïΩãœèóê´,ïΩãœ20ë„,ïΩãœ30ë„,ïΩãœ40ë„,ïΩãœ50ë„,ïΩãœ60ë„,ïΩãœ70çŒà»è„,ïΩãœãèèZé“,ïΩãœãŒñ±é“,ïΩãœóàäXé“
2024-10-01,5éû,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-01,5éûîº,31,31,0,0,0,0,31,0,0,0,0,31,31,0,0,0,0,31,0,0,0,0,31
2024-10-01,6éû,61,61,0,0,0,0,61,0,0,0,0,61,61,0,0,0,0,61,0,0,0,0,61
2024-10-01,6éûîº,29,29,0,0,0,0,29,0,0,0,0,29,29,0,0,0,0,29,0,0,0,0,29
2024-10-01,7éû,46,46,0,0,0,0,0,0,46,0,46,0,46,0,0,0,0,0,0,46,0,46,0
2024-10-01,7éûîº,98,98,0,0,0,51,0,0,46,0,98,0,98,0,0,0,51,0,0,46,0,98,0
2024-10-01,8éû,139,139,0,0,0,108,31,0,0,0,51,87,139,0,0,0,108,31,0,0,0,51,87
2024-10-01,8éûîº,316,224,92,0,58,201,31,26,0,0,51,264,224,92,0,58,201,31,26,0,0,51,264
2024-10-01,9éû,285,193,92,0,58,201,0,26,0,0,51,233,193,92,0,58,201,0,26,0,0,51,233
2024-10-01,9éûîº,285,193,92,0,58,201,0,26,0,0,51,233,193,92,0,58,201,0,26,0,0,51,233
2024-10-01,10éû,135,135,0,0,0,108,0,26,0,0,51,83,135,0,0,0,108,0,26,0,0,51,83
2024-10-01,10éûîº,456,324,132,136,0,149,32,26,111,39,0,417,324,132,136,0,149,32,26,111,39,0,417
2024-10-01,11éû,546,344,202,0,58,287,103,26,71,39,51,455,344,202,0,58,287,103,26,71,39,51,455
2024-10-01,11éûîº,750,402,348,0,58,406,109,90,85,0,187,563,402,348,0,58,406,109,90,85,0,187,563
2024-10-01,12éû,991,343,648,0,90,534,159,121,85,0,341,650,343,648,0,90,534,159,121,85,0,341,650
2024-10-01,12éûîº,1162,484,678,292,90,324,160,210,85,136,302,724,484,678,292,90,324,160,210,85,136,302,724
2024-10-01,13éû,1353,459,894,292,334,222,171,248,85,136,450,767,459,894,292,334,222,171,248,85,136,450,767
2024-10-01,13éûîº,1435,379,1056,525,334,172,171,186,45,136,450,849,379,1056,525,334,172,171,186,45,136,450,849
2024-10-01,14éû,1450,273,1177,433,334,264,155,215,45,29,450,970,273,1177,433,334,264,155,215,45,29,450,970
2024-10-01,14éûîº,1564,342,1222,635,423,120,188,151,45,29,398,1136,342,1222,635,423,120,188,151,45,29,398,1136
2024-10-01,15éû,1416,390,1026,433,502,177,186,115,0,29,398,988,390,1026,433,502,177,186,115,0,29,398,988
2024-10-01,15éûîº,1415,330,1085,233,502,434,149,56,39,39,398,978,330,1085,233,502,434,149,56,39,39,398,978
2024-10-01,16éû,1705,500,1205,392,465,541,240,26,39,39,398,1267,500,1205,392,465,541,240,26,39,39,398,1267
