ì˙ït,éûä‘,çáåv,íjê´,èóê´,20ë„,30ë„,40ë„,50ë„,60ë„,70çŒà»è„,ãèèZé“,ãŒñ±é“,óàäXé“,ïΩãœíjê´,ïΩãœèóê´,ïΩãœ20ë„,ïΩãœ30ë„,ïΩãœ40ë„,ïΩãœ50ë„,ïΩãœ60ë„,ïΩãœ70çŒà»è„,ïΩãœãèèZé“,ïΩãœãŒñ±é“,ïΩãœóàäXé“
2024-10-01,5éû,32,32,0,0,0,0,32,0,0,0,0,32,32,0,0,0,0,32,0,0,0,0,32
2024-10-01,5éûîº,32,32,0,0,0,0,32,0,0,0,0,32,32,0,0,0,0,32,0,0,0,0,32
2024-10-01,6éû,32,32,0,0,0,0,32,0,0,0,0,32,32,0,0,0,0,32,0,0,0,0,32
2024-10-01,6éûîº,62,62,0,0,0,0,62,0,0,0,0,62,62,0,0,0,0,62,0,0,0,0,62
2024-10-01,7éû,32,32,0,0,0,0,32,0,0,0,0,32,32,0,0,0,0,32,0,0,0,0,32
2024-10-01,7éûîº,58,58,0,0,0,0,58,0,0,0,26,32,58,0,0,0,0,58,0,0,0,26,32
2024-10-01,8éû,358,87,271,271,0,0,87,0,0,0,297,60,87,271,271,0,0,87,0,0,0,297,60
2024-10-01,8éûîº,60,60,0,0,0,0,60,0,0,0,0,60,60,0,0,0,0,60,0,0,0,0,60
2024-10-01,9éû,126,92,34,0,0,0,101,25,0,0,0,127,92,34,0,0,0,101,25,0,0,0,127
2024-10-01,9éûîº,145,111,34,0,79,0,67,0,0,0,79,67,111,34,0,79,0,67,0,0,0,79,67
2024-10-01,10éû,113,79,34,0,79,0,34,0,0,0,79,34,79,34,0,79,0,34,0,0,0,79,34
2024-10-01,10éûîº,113,79,34,0,79,0,34,0,0,0,79,34,79,34,0,79,0,34,0,0,0,79,34
2024-10-01,11éû,79,79,0,0,79,0,0,0,0,0,79,0,79,0,0,79,0,0,0,0,0,79,0
2024-10-01,11éûîº,452,240,212,212,141,47,51,0,0,0,291,161,240,212,212,141,47,51,0,0,0,291,161
2024-10-01,12éû,537,325,212,320,141,47,27,0,0,0,291,245,325,212,320,141,47,27,0,0,0,291,245
2024-10-01,12éûîº,384,172,212,212,141,0,30,0,0,0,322,61,172,212,212,141,0,30,0,0,0,322,61
2024-10-01,13éû,558,346,212,334,141,51,30,0,0,0,322,235,346,212,334,141,51,30,0,0,0,322,235
2024-10-01,13éûîº,488,276,212,334,0,51,103,0,0,0,263,225,276,212,334,0,51,103,0,0,0,263,225
2024-10-01,14éû,212,0,212,212,0,0,0,0,0,0,212,0,0,212,212,0,0,0,0,0,0,212,0
2024-10-01,14éûîº,298,0,298,212,86,0,0,0,0,0,298,0,0,298,212,86,0,0,0,0,0,298,0
