title,date,category,target,detail_url,image_url,month_param,detail_title,detail_category,description,date_period,time_main,time_note,detail_target,detail_price,facilities,organizer,official_url,detail_image_url
第30回 ファインテック ジャパン,2020.12.02(水) 〜 2020.12.04(金),展示会・見本市,関係者,https://www.m-messe.co.jp/event/detail/6345,https://www.m-messe.co.jp/saved/images/event/f5/51/1b13090f451503c0b33b937ac595f9df071ff551.jpg,202012,第30回 ファインテック ジャパン,展示会・見本市,電子ディスプレイ(液晶、有機EL、量子ドット、マイクロLED)から、その製造装置、材料技術までが一堂に出展する商談展です。,2020年12月2日(水)～2020年12月4日(金),10:00～18:00,最終日のみ17:00終了,関係者,"有料\5,000/人(招待券持参者無料)",['国際展示場 展示ホール1〜6'],リード エグジビション ジャパン株式会社,https://www.ftj.jp,https://www.m-messe.co.jp/cache/images/event/f5/51/1b13090f451503c0b33b937ac595f9df071ff551.1200x1200.none.jpg
第20回 Photonix,2020.12.02(水) 〜 2020.12.04(金),展示会・見本市,関係者,https://www.m-messe.co.jp/event/detail/6346,https://www.m-messe.co.jp/saved/images/event/df/10/f1701391b4caafe43045bdf7719ed16a1179df10.jpg,202012,第20回 Photonix,展示会・見本市,「レーザー加工」「光学部品・材料」「光計測・分析」の3つの専門展から構成される、光・レーザー関連技術の総合展です。,2020年12月2日(水)～2020年12月4日(金),10:00～18:00,最終日のみ17:00終了,関係者,"有料\5,000/人(招待券持参者無料)",['国際展示場 展示ホール1〜6'],リード エグジビション ジャパン株式会社,https://www.photonix-expo.jp,https://www.m-messe.co.jp/cache/images/event/df/10/f1701391b4caafe43045bdf7719ed16a1179df10.1200x1200.none.jpg
第11回 高機能素材Week,2020.12.02(水) 〜 2020.12.04(金),展示会・見本市,関係者,https://www.m-messe.co.jp/event/detail/6347,https://www.m-messe.co.jp/saved/images/event/5f/af/c7a0552524c767746fb7ae83f73bfbdf2b385faf.jpg,202012,第11回 高機能素材Week,展示会・見本市,フィルム・プラスチック・複合材・金属・セラミックスなど、製品の高付加価値化に欠かせない素材技術が一堂に出展する展示会。材料メーカーをはじめ、加工技術や製造装置、検査関連技術などが世界中から出展。,2020年12月2日(水)～2020年12月4日(金),10:00～18:00,最終日のみ17:00終了,関係者,"有料\5,000/人(招待券持参者無料)",['国際展示場 展示ホール1〜6'],リード エグジビション ジャパン株式会社,https://www.material-expo.jp,https://www.m-messe.co.jp/cache/images/event/5f/af/c7a0552524c767746fb7ae83f73bfbdf2b385faf.1200x1200.none.jpg
第11回 高機能フィルム展,2020.12.02(水) 〜 2020.12.04(金),展示会・見本市,関係者,https://www.m-messe.co.jp/event/detail/6348,https://www.m-messe.co.jp/saved/images/event/ad/27/996a034e51bd3ee0cb5dc90165738e9520b8ad27.jpg,202012,第11回 高機能フィルム展,展示会・見本市,電機、自動車、建材、医薬品、食品包装など様々な分野で活躍する機能性フィルムです。本展はそのフィルムから成形加工技術までが出展するフィルム産業展。,2020年12月2日(水)～2020年12月4日(金),10:00～18:00,最終日のみ17:00終了,関係者,"有料\5,000/人(招待券持参者無料)",['国際展示場 展示ホール1〜6'],リード エグジビション ジャパン株式会社,https://www.filmtech.jp,https://www.m-messe.co.jp/cache/images/event/ad/27/996a034e51bd3ee0cb5dc90165738e9520b8ad27.1200x1200.none.jpg
第9回 高機能プラスチック展,2020.12.02(水) 〜 2020.12.04(金),展示会・見本市,関係者,https://www.m-messe.co.jp/event/detail/6349,https://www.m-messe.co.jp/saved/images/event/3f/a4/44f8d1b4bf20acaced0beb4bbf69cd364bb43fa4.jpg,202012,第9回 高機能プラスチック展,展示会・見本市,「軽量化」「金属代替」「エコ素材」と注目の集まる高機能プラスチック。本展は、原料・添加剤から成形加工、リサイクルに至るまで、プラスチック産業に関するあらゆる技術が出展します。,2020年12月2日(水)～2020年12月4日(金),10:00～18:00,最終日のみ17:00終了,関係者,"有料\5,000/人(招待券持参者無料)",['国際展示場 展示ホール1〜6'],リード エグジビション ジャパン株式会社,https://www.plas.jp,https://www.m-messe.co.jp/cache/images/event/3f/a4/44f8d1b4bf20acaced0beb4bbf69cd364bb43fa4.1200x1200.none.jpg
第7回 高機能 金属展,2020.12.02(水) 〜 2020.12.04(金),展示会・見本市,関係者,https://www.m-messe.co.jp/event/detail/6350,https://www.m-messe.co.jp/saved/images/event/ce/49/8c10e9a9364e7009a0d2598eacd51bdd72d8ce49.jpg,202012,第7回 高機能 金属展,展示会・見本市,アルミ、銅、チタン、マグネシウム、貴金属、鉄鋼をはじめとした金属材料や、その加工機械、分析・検査機器、鋼材流通など、高機能金属に関するあらゆる技術が出展する商談展です。,2020年12月2日(水)～2020年12月4日(金),10:00～18:00,最終日のみ17:00終了,関係者,"有料\5,000/人(招待券持参者無料)",['国際展示場 展示ホール1〜6'],リード エグジビション ジャパン株式会社,https://www.metal-japan.jp,https://www.m-messe.co.jp/cache/images/event/ce/49/8c10e9a9364e7009a0d2598eacd51bdd72d8ce49.1200x1200.none.jpg
第5回 高機能セラミックス展,2020.12.02(水) 〜 2020.12.04(金),展示会・見本市,関係者,https://www.m-messe.co.jp/event/detail/6351,https://www.m-messe.co.jp/saved/images/event/9f/96/b51d0df400e161cdd2f296d0b36e63e09ac59f96.jpg,202012,第5回 高機能セラミックス展,展示会・見本市,高機能セラミックス(構造材料、機能材料、生体材料、耐火物)、セラミックス原料(酸化物、蛍光体、窒化物、炭化物)、製造加工技術などが出展する、日本最大の商談展です。,2020年12月2日(水)～2020年12月4日(金),10:00～18:00,最終日のみ17:00終了,関係者,"有料\5,000/人(招待券持参者無料)",['国際展示場 展示ホール1〜6'],リード エグジビション ジャパン株式会社,https://www.ceramics-japan.jp,https://www.m-messe.co.jp/cache/images/event/9f/96/b51d0df400e161cdd2f296d0b36e63e09ac59f96.1200x1200.none.jpg
第4回 接着・接合 EXPO,2020.12.02(水) 〜 2020.12.04(金),展示会・見本市,関係者,https://www.m-messe.co.jp/event/detail/6352,https://www.m-messe.co.jp/saved/images/event/99/fb/60e8a88d1cf64987a36adffa4cdca109b25499fb.jpg,202012,第4回 接着・接合 EXPO,展示会・見本市,接着・粘着剤などの材料から溶接・摩擦撹拌・超音波・拡散などの接合装置・技術が一堂に出展します。,2020年12月2日(水)～2020年12月4日(金),10:00～18:00,最終日のみ17:00終了,関係者,"有料\5,000/人(招待券持参者無料)",['国際展示場 展示ホール1〜6'],リード エグジビション ジャパン株式会社,https://www.joining-expo.jp,https://www.m-messe.co.jp/cache/images/event/99/fb/60e8a88d1cf64987a36adffa4cdca109b25499fb.1200x1200.none.jpg
第3回 高機能 塗料展,2020.12.02(水) 〜 2020.12.04(金),展示会・見本市,関係者,https://www.m-messe.co.jp/event/detail/6353,https://www.m-messe.co.jp/saved/images/event/1c/e5/e20012402af81a653333025860693015849b1ce5.jpg,202012,第3回 高機能 塗料展,展示会・見本市,自動車、エレクトロニクス、建築をはじめとした様々な分野で必要不可欠な「塗料・コーティング技術」に特化した総合展です。工業用、建築用に限らず、塗料・塗装・コーティングに関するあらゆる製品が出展します。,2020年12月2日(水)～2020年12月4日(金),10:00～18:00,最終日のみ17:00終了,関係者,"有料\5,000/人(招待券持参者無料)",['国際展示場 展示ホール1〜6'],リード エグジビション ジャパン株式会社,https://www.coating-japan.jp,https://www.m-messe.co.jp/cache/images/event/1c/e5/e20012402af81a653333025860693015849b1ce5.1200x1200.none.jpg
"King Gnu Live Tour 2020 AW “CEREMONY""",2020.12.06(日),音楽イベント,一般,https://www.m-messe.co.jp/event/detail/6498,https://www.m-messe.co.jp/saved/images/event/17/da/5230044f1381b178011a2deed2de558b421e17da.jpg,202012,"King Gnu Live Tour 2020 AW “CEREMONY""",音楽イベント,King Gnuワンマンライブ,2020年12月6日(日),,OPEN 16:00 / START 18:00,,,['国際展示場 展示ホール4〜7'],HOT STUFF PROMOTION,https://www.red-hot.ne.jp/sp/kinggnu/,https://www.m-messe.co.jp/cache/images/event/17/da/5230044f1381b178011a2deed2de558b421e17da.1200x1200.none.jpg
